Q73,Q71,Q74,Q72,Q70,score
2.763987792472024,2.5582329317269075,2.4934934934934936,3.0425963488843815,2.422805247225025,0.3060752561123673
3.0635416666666666,2.93502538071066,3.136222910216718,3.2577639751552794,3.1214574898785425,0.2060640966207796
3.2595097210481825,2.89957805907173,2.757105943152455,3.4419983065198982,3.0903508771929826,0.2089102099329089
2.8134078212290503,2.8173719376391984,2.548876404494382,3.1181058495821725,2.317851147174035,0.2890564606704565
1.9922813036020584,1.890480202190396,2.115695067264574,2.638225255972696,1.989873417721519,0.4299862003986027
3.2841140529531567,2.9435166994106092,3.1901477832512315,3.3993140617344437,3.179989944695827,0.1835976231046718
3.451461988304094,3.2901162790697676,2.6423188405797102,3.5303995367689636,2.5904537418974662,0.2007633437082296
2.601543056246889,2.5868591338974616,2.4109009457441513,2.9243404678944747,2.3514186162269786,0.3245832088933134
3.1654749744637387,2.8158697863682605,2.776073619631902,3.31237322515213,2.875763747454175,0.2307233992425875
1.6949040370615487,1.5609514370664024,1.8824113945014906,1.7213386348575215,1.8646591661151555,0.5157457463716931
3.3072368421052634,3.1171052631578946,3.213157894736842,3.3046052631578946,3.0901315789473682,0.1802254385964912
2.8625792811839323,2.7089005235602093,2.586387434554974,3.11983032873807,2.41151832460733,0.2864388417658733
2.777307366638442,2.8493265993265995,2.4478260869565216,3.0271186440677966,2.346644010195412,0.29675700744274
2.6271418779986293,2.6233153638814017,2.329054054054054,2.908344733242134,2.080623306233062,0.3364327231515506
3.168067226890756,2.911467116357504,3.3435114503816794,3.3089840470193117,2.714648602878916,0.2057658943086967
3.4595141700404857,,3.0946073793755913,3.7012542759407068,,0.1375731921848074
2.512380952380952,2.1934156378600824,2.4103819784524974,2.9891500904159134,2.2632890365448506,0.3492799674383612
3.0189125295508275,3.0423465423465426,2.524355300859599,3.125098347757671,2.2348939575830333,0.271466783054814
3.2955122777307366,3.346316680779001,2.6476510067114094,3.4352243861134633,2.4018612521150593,0.2170369738796446
3.3718470301057772,3.3197721724979656,3.3580146460537024,3.408462164361269,3.1700569568755084,0.1526981285598047
2.799902391410444,2.500241662638956,2.4560038891589695,2.9523341523341524,1.9765853658536585,0.3298869051789477
2.4682664982633407,1.854945054945055,2.0444862155388472,2.7658968680797216,2.012256442489001,0.4044007560844566
1.992258064516129,2.2123039806996383,1.8784987277353689,2.701226993865031,1.934416365824308,0.4246781824584681
2.354663036078965,2.584956346541303,2.200937709310114,2.70260989010989,1.9838709677419355,0.3706730651468
3.5192644483362523,3.274374460742019,2.91674047829938,3.5548780487804876,2.6686746987951806,0.1812004295326343
3.5690265486725665,2.8103616813294234,2.7351638618246237,3.579175704989154,1.7544910179640718,0.244338781699919
